X Y
0 -28.935262435621514
1 63.62401061069032
2 27.068955469757185
3 25.723129715500633
4 7.968584851323173
5 61.93815699673431
6 76.12270557823867
7 8.461717788441014
8 -24.387312650650852
9 88.61324660947068
10 -24.526037540328748
11 74.85470439344044
12 0.5541109339254717
13 -8.180504556164959
14 18.99814729596467
15 11.765117948708047
16 -1.1020695531178184
17 27.903676195753114
18 55.93508143363561
19 54.93412299850868
20 56.257014777842016
21 -4.545763287425814
22 36.58885227356286
23 72.53870868187519
24 49.48829100672915
25 0.9578207861137891
26 45.93802916177013
27 21.07826915883246
28 -8.684415662019223
29 59.02472479039157
30 -10.139197911502556
31 36.57978468144679
32 15.522220547935873
33 11.920518074990888
34 32.43108701310322
35 47.49060384788047
36 -30.820375394539056
37 68.65958521196453
38 30.842508795007333
39 1.1200239664215985
40 50.07144156059111
41 74.42017148890423
42 3.753796905350228
43 34.822894184586886
44 -0.47186772917032016
45 95.42617167350305
46 37.34122766526489
47 51.59278749094101
48 54.98007591109785
49 34.8312524934304
50 -37.888178006757954
51 47.007962378780874
52 26.225791131499626
53 18.375100503587824
54 22.673406933909177
55 38.33790647328634
56 -8.68275315546696
57 -11.501917645063799
58 46.17893905646119
59 38.88788773551508
60 -16.557837604974203
61 63.14964565367582
62 0.9410642653153445
63 63.08071624254868
64 -20.291241478187878
65 30.966517483107125
66 -10.406467483015891
67 3.168772781308821
68 48.42391121624409
69 8.51162593021865
70 -16.964397474874787
71 32.68990268334194
72 -34.114755773259674
73 40.55704846527913
74 19.71288058450731
75 1.1885848095389673
76 -21.295599598154894
77 -19.207522129629663
78 40.58247134874952
79 -26.719751088626513
80 53.95110992314545
81 -10.105742880295743
82 10.697502846427124
83 0.5771878709451741
84 -9.051785860501537
85 53.01361880333095
86 -12.287058284503374
87 -15.928058871450716
88 53.57559872846083
89 24.811797104800092
90 85.97596329095563
91 33.83135480223882
92 48.45220226563209
93 38.089344635514756
94 44.95862692911261
95 20.450339206229724
96 -13.131474982872739
97 33.589079860772145
98 -22.855454129782593
99 4.617271196475077
100 -11.046509883578132
